,date,Canada,France,Australia,China,Denmark,United Kingdom
0,2020-01-22,0,0,0,548,0,0
1,2020-01-23,0,0,0,643,0,0
2,2020-01-24,0,2,0,920,0,0
3,2020-01-25,0,3,0,1406,0,0
4,2020-01-26,1,3,4,2075,0,0
5,2020-01-27,1,3,5,2877,0,0
6,2020-01-28,2,4,5,5509,0,0
7,2020-01-29,2,5,6,6087,0,0
8,2020-01-30,2,5,9,8141,0,0
9,2020-01-31,4,5,9,9802,0,2
10,2020-02-01,4,6,12,11891,0,2
11,2020-02-02,4,6,12,16630,0,2
12,2020-02-03,4,6,12,19716,0,2
13,2020-02-04,4,6,13,23707,0,2
14,2020-02-05,5,6,13,27440,0,2
15,2020-02-06,5,6,14,30587,0,2
16,2020-02-07,7,6,15,34110,0,3
17,2020-02-08,7,11,15,36814,0,3
18,2020-02-09,7,11,15,39829,0,3
19,2020-02-10,7,11,15,42354,0,8
20,2020-02-11,7,11,15,44386,0,8
21,2020-02-12,7,11,15,44759,0,9
22,2020-02-13,7,11,15,59895,0,9
23,2020-02-14,7,11,15,66358,0,9
24,2020-02-15,7,12,15,68413,0,9
25,2020-02-16,7,12,15,70513,0,9
26,2020-02-17,8,12,15,72434,0,9
27,2020-02-18,8,12,15,74211,0,9
28,2020-02-19,8,12,15,74619,0,9
29,2020-02-20,8,12,15,75077,0,9
30,2020-02-21,9,12,15,75550,0,9
31,2020-02-22,9,12,15,77001,0,9
32,2020-02-23,9,12,15,77022,0,9
33,2020-02-24,10,12,15,77241,0,13
34,2020-02-25,11,14,15,77754,0,13
35,2020-02-26,11,18,15,78166,0,13
36,2020-02-27,13,38,15,78600,1,15
37,2020-02-28,14,57,15,78928,1,20
38,2020-02-29,20,100,25,79356,3,23
39,2020-03-01,24,130,27,79932,4,36
40,2020-03-02,27,191,30,80136,4,40
41,2020-03-03,30,204,39,80261,6,51
42,2020-03-04,33,288,52,80386,11,86
43,2020-03-05,37,380,55,80537,11,116
44,2020-03-06,49,656,60,80690,24,164
45,2020-03-07,54,959,63,80770,24,207
46,2020-03-08,64,1136,76,80823,37,274
47,2020-03-09,77,1219,91,80860,92,322
48,2020-03-10,79,1794,107,80887,264,384
49,2020-03-11,108,2293,128,80921,444,459
50,2020-03-12,117,2293,128,80932,617,459
51,2020-03-13,193,3681,200,80945,804,802
52,2020-03-14,198,4496,250,80977,836,1144
53,2020-03-15,252,4532,297,81003,875,1145
54,2020-03-16,415,6683,377,81033,933,1551
55,2020-03-17,478,7715,452,81058,1025,1960
56,2020-03-18,657,9124,568,81102,1116,2642
57,2020-03-19,800,10970,681,81156,1225,2716
58,2020-03-20,943,12758,791,81250,1337,4014
59,2020-03-21,1277,14463,1071,81305,1420,5067
60,2020-03-22,1469,16243,1549,81435,1514,5745
61,2020-03-23,2088,20123,1682,81498,1572,6726
62,2020-03-24,2790,22622,2044,81591,1718,8164
63,2020-03-25,3251,25600,2364,81661,1862,9640
64,2020-03-26,4042,29551,2810,81782,2023,11812
65,2020-03-27,4682,33402,3143,81897,2200,14745
66,2020-03-28,5576,38105,3640,81999,2366,17312
67,2020-03-29,6280,40708,3984,82122,2564,19780
68,2020-03-30,7398,45170,4361,82198,2755,22453
69,2020-03-31,8527,52827,4559,82279,3039,25481
70,2020-04-01,9560,57749,4862,82361,3290,29865
71,2020-04-02,11284,59929,5116,82432,3573,34173
72,2020-04-03,12437,65202,5330,82511,3946,38689
73,2020-04-04,12978,69500,5550,82543,4269,42477
74,2020-04-05,15756,71412,5687,82602,4561,48436
75,2020-04-06,16563,75343,5797,82665,4875,52279
76,2020-04-07,17872,79163,5895,82718,5266,55949
77,2020-04-08,19141,83057,6010,82809,5597,61474
78,2020-04-09,20654,87366,6108,82883,5830,65872
79,2020-04-10,22059,91738,6215,82941,6014,74605
80,2020-04-11,23316,94863,6303,83014,6191,79874
81,2020-04-12,24299,121712,6315,83134,6369,85206
82,2020-04-13,25680,125394,6351,83213,6513,89570
83,2020-04-14,27035,130365,6415,83306,6706,94845
84,2020-04-15,28209,133585,6440,83356,6876,99483
85,2020-04-16,30809,146075,6462,83403,7074,104145
86,2020-04-17,32814,148084,6522,83760,7268,109769
87,2020-04-18,34356,148086,6568,83787,7437,115314
88,2020-04-19,35633,153011,6610,83805,7580,121172
89,2020-04-20,37658,155393,6623,83817,7711,125856
90,2020-04-21,39402,158168,6645,83853,7891,130172
91,2020-04-22,41663,155980,6652,83868,8108,134638
92,2020-04-23,43299,158303,6662,83884,8271,139246
93,2020-04-24,44919,159952,6677,83899,8408,144640
94,2020-04-25,46371,161644,6694,83909,8643,149569
95,2020-04-26,48033,162220,6714,83912,8773,154037
96,2020-04-27,49616,165963,6721,83918,8896,158348
97,2020-04-28,51150,169053,6744,83940,9049,162350
98,2020-04-29,52865,166543,6752,83944,9206,166441
99,2020-04-30,54457,167299,6766,83956,9356,172481
100,2020-05-01,56343,167305,6778,83959,9509,178685
101,2020-05-02,57926,168518,6799,83959,9605,183500
102,2020-05-03,60504,168925,6822,83964,9721,187842
103,2020-05-04,61957,169583,6847,83966,9868,191832
